,기간,자치구,총전입,총전출
321,2015년10월,강북구,"4,161","4,724"
322,2015년11월,강북구,"3,957","4,519"
323,2015년12월,강북구,"3,841","4,331"
324,2016년01월,강북구,"2,920","3,288"
325,2016년02월,강북구,"3,672","3,949"
326,2016년03월,강북구,"4,135","4,434"
327,2016년04월,강북구,"3,707","3,935"
328,2016년05월,강북구,"3,760","4,227"
329,2016년06월,강북구,"3,894","4,166"
330,2016년07월,강북구,"3,576","3,807"
331,2016년08월,강북구,"4,203","4,404"
332,2016년09월,강북구,"3,505","3,807"
333,2016년10월,강북구,"3,888","4,494"
334,2016년11월,강북구,"3,852","4,396"
335,2016년12월,강북구,"3,679","4,040"
336,2017년01월,강북구,"2,830","3,088"
337,2017년02월,강북구,"3,623","4,039"
338,2017년03월,강북구,"4,446","4,146"
339,2017년04월,강북구,"3,766","3,772"
340,2017년05월,강북구,"3,898","4,106"
341,2017년06월,강북구,"3,649","3,616"
342,2017년07월,강북구,"3,278","3,652"
343,2017년08월,강북구,"3,563","3,764"
344,2017년09월,강북구,"3,447","3,874"
345,2017년10월,강북구,"3,279","3,454"
346,2017년11월,강북구,"3,381","3,690"
347,2017년12월,강북구,"3,071","3,608"
348,2018년01월,강북구,"2,937","3,078"
349,2018년02월,강북구,"3,223","3,472"
350,2018년03월,강북구,"4,041","4,146"
351,2018년04월,강북구,"3,449","3,922"
352,2018년05월,강북구,"3,596","4,117"
353,2018년06월,강북구,"3,464","3,871"
354,2018년07월,강북구,"3,420","4,008"
355,2018년08월,강북구,"3,457","4,205"
356,2018년09월,강북구,"2,834","3,193"
357,2018년10월,강북구,"3,812","4,247"
358,2018년11월,강북구,"3,672","4,201"
359,2018년12월,강북구,"3,036","3,340"
360,2014년01월,노원구,"5,235","6,386"
361,2014년02월,노원구,"8,046","9,000"
362,2014년03월,노원구,"7,124","7,948"
363,2014년04월,노원구,"6,411","7,037"
364,2014년05월,노원구,"5,962","6,723"
365,2014년06월,노원구,"5,173","6,004"
366,2014년07월,노원구,"5,555","6,206"
367,2014년08월,노원구,"5,509","6,211"
368,2014년09월,노원구,"5,553","5,990"
369,2014년10월,노원구,"6,572","7,278"
370,2014년11월,노원구,"5,906","6,946"
371,2014년12월,노원구,"6,457","8,019"
372,2015년01월,노원구,"5,538","6,198"
373,2015년02월,노원구,"6,778","7,282"
374,2015년03월,노원구,"7,310","8,141"
375,2015년04월,노원구,"6,104","6,745"
376,2015년05월,노원구,"6,225","7,011"
377,2015년06월,노원구,"6,066","6,945"
378,2015년07월,노원구,"5,994","6,576"
379,2015년08월,노원구,"6,029","7,008"
380,2015년09월,노원구,"5,234","6,115"
381,2015년10월,노원구,"6,176","7,010"
382,2015년11월,노원구,"5,749","6,753"
383,2015년12월,노원구,"6,325","7,888"
384,2016년01월,노원구,"5,374","6,284"
385,2016년02월,노원구,"7,796","7,926"
386,2016년03월,노원구,"7,778","7,692"
387,2016년04월,노원구,"6,049","6,202"
388,2016년05월,노원구,"5,687","6,028"
389,2016년06월,노원구,"4,950","5,910"
390,2016년07월,노원구,"4,950","6,018"
391,2016년08월,노원구,"5,988","6,946"
392,2016년09월,노원구,"5,326","6,145"
393,2016년10월,노원구,"6,367","7,361"
394,2016년11월,노원구,"6,133","7,330"
395,2016년12월,노원구,"5,851","7,334"
396,2017년01월,노원구,"4,949","5,806"
397,2017년02월,노원구,"7,344","8,544"
398,2017년03월,노원구,"6,719","6,838"
399,2017년04월,노원구,"4,889","5,445"
400,2017년05월,노원구,"5,177","6,108"
