,기간,자치구,승하차 평균
88,2018년05월,강서구,29204.4
89,2018년06월,강서구,28519.1
90,2018년07월,강서구,28191.4
91,2018년08월,강서구,27254.0
92,2018년09월,강서구,26714.4
93,2018년10월,강서구,29120.7
94,2018년11월,강서구,29925.3
95,2018년12월,강서구,28133.0
0,2011년01월,관악구,
1,2011년02월,관악구,
2,2011년03월,관악구,
3,2011년04월,관악구,
4,2011년05월,관악구,
5,2011년06월,관악구,
6,2011년07월,관악구,
7,2011년08월,관악구,
8,2011년09월,관악구,
9,2011년10월,관악구,
10,2011년11월,관악구,
11,2011년12월,관악구,
12,2012년01월,관악구,84349.5
13,2012년02월,관악구,91911.0
14,2012년03월,관악구,94805.5
15,2012년04월,관악구,92424.8
16,2012년05월,관악구,92984.2
17,2012년06월,관악구,91095.5
18,2012년07월,관악구,88738.2
19,2012년08월,관악구,83913.5
20,2012년09월,관악구,88440.8
21,2012년10월,관악구,89315.2
22,2012년11월,관악구,93698.0
23,2012년12월,관악구,89956.8
24,2013년01월,관악구,
25,2013년02월,관악구,
26,2013년03월,관악구,
27,2013년04월,관악구,
28,2013년05월,관악구,
29,2013년06월,관악구,
30,2013년07월,관악구,
31,2013년08월,관악구,
32,2013년09월,관악구,
33,2013년10월,관악구,
34,2013년11월,관악구,
35,2013년12월,관악구,
36,2014년01월,관악구,85312.5
37,2014년02월,관악구,89987.8
38,2014년03월,관악구,94372.8
39,2014년04월,관악구,91871.2
40,2014년05월,관악구,91711.2
41,2014년06월,관악구,89389.5
42,2014년07월,관악구,92212.5
43,2014년08월,관악구,86748.2
44,2014년09월,관악구,87847.8
45,2014년10월,관악구,92632.2
46,2014년11월,관악구,92358.2
47,2014년12월,관악구,93040.2
48,2015년01월,관악구,89352.2
49,2015년02월,관악구,84097.5
50,2015년03월,관악구,95252.5
51,2015년04월,관악구,95815.2
52,2015년05월,관악구,91637.5
53,2015년06월,관악구,86347.5
54,2015년07월,관악구,89601.0
55,2015년08월,관악구,84932.5
56,2015년09월,관악구,87460.5
57,2015년10월,관악구,91812.2
58,2015년11월,관악구,91247.0
59,2015년12월,관악구,92005.0
60,2016년01월,관악구,85472.0
61,2016년02월,관악구,83614.0
62,2016년03월,관악구,94320.8
63,2016년04월,관악구,92747.8
64,2016년05월,관악구,91358.5
65,2016년06월,관악구,90606.8
66,2016년07월,관악구,87535.5
67,2016년08월,관악구,85144.0
68,2016년09월,관악구,84295.0
69,2016년10월,관악구,88734.0
70,2016년11월,관악구,91169.8
71,2016년12월,관악구,90067.5
72,2017년01월,관악구,81468.0
73,2017년02월,관악구,89553.5
74,2017년03월,관악구,92189.0
75,2017년04월,관악구,90135.2
76,2017년05월,관악구,87109.5
77,2017년06월,관악구,88510.0
78,2017년07월,관악구,84947.0
79,2017년08월,관악구,83461.0
80,2017년09월,관악구,89740.0
81,2017년10월,관악구,78087.8
82,2017년11월,관악구,90253.0
83,2017년12월,관악구,87378.5
84,2018년01월,관악구,84678.8
85,2018년02월,관악구,81895.0
86,2018년03월,관악구,91039.2
87,2018년04월,관악구,90381.5
88,2018년05월,관악구,89463.2
89,2018년06월,관악구,87491.8
90,2018년07월,관악구,87331.8
91,2018년08월,관악구,84074.2
92,2018년09월,관악구,82576.5
93,2018년10월,관악구,89699.5
94,2018년11월,관악구,92061.0
95,2018년12월,관악구,87556.2
0,2011년01월,광진구,
1,2011년02월,광진구,
2,2011년03월,광진구,
3,2011년04월,광진구,
4,2011년05월,광진구,
5,2011년06월,광진구,
6,2011년07월,광진구,
7,2011년08월,광진구,
8,2011년09월,광진구,
9,2011년10월,광진구,
10,2011년11월,광진구,
11,2011년12월,광진구,
12,2012년01월,광진구,38691.6
13,2012년02월,광진구,41960.4
14,2012년03월,광진구,44565.3
15,2012년04월,광진구,44850.7
16,2012년05월,광진구,46076.5
17,2012년06월,광진구,43357.6
18,2012년07월,광진구,40737.7
19,2012년08월,광진구,39012.0
20,2012년09월,광진구,42025.9
21,2012년10월,광진구,42861.3
22,2012년11월,광진구,43907.8
23,2012년12월,광진구,41988.5
24,2013년01월,광진구,25683.0
25,2013년02월,광진구,25348.5
26,2013년03월,광진구,29147.4
27,2013년04월,광진구,30675.9
28,2013년05월,광진구,31035.9
29,2013년06월,광진구,28056.8
30,2013년07월,광진구,25813.4
31,2013년08월,광진구,25179.9
32,2013년09월,광진구,26171.0
33,2013년10월,광진구,28993.0
34,2013년11월,광진구,28602.8
35,2013년12월,광진구,27916.5
36,2014년01월,광진구,39437.9
37,2014년02월,광진구,41495.6
38,2014년03월,광진구,44589.0
39,2014년04월,광진구,45523.9
40,2014년05월,광진구,45410.3
41,2014년06월,광진구,42559.5
42,2014년07월,광진구,42195.4
43,2014년08월,광진구,41152.0
44,2014년09월,광진구,42328.3
45,2014년10월,광진구,44285.8
46,2014년11월,광진구,43367.0
47,2014년12월,광진구,43394.7
48,2015년01월,광진구,40703.4
49,2015년02월,광진구,38920.8
50,2015년03월,광진구,44761.6
51,2015년04월,광진구,46156.7
52,2015년05월,광진구,46251.2
53,2015년06월,광진구,38857.5
54,2015년07월,광진구,40412.0
55,2015년08월,광진구,39951.5
56,2015년09월,광진구,41766.3
57,2015년10월,광진구,43755.3
58,2015년11월,광진구,42620.9
59,2015년12월,광진구,43116.8
60,2016년01월,광진구,38519.3
61,2016년02월,광진구,38359.6
62,2016년03월,광진구,43878.2
63,2016년04월,광진구,44446.5
64,2016년05월,광진구,44742.5
65,2016년06월,광진구,42565.1
66,2016년07월,광진구,40282.4
67,2016년08월,광진구,39827.7
68,2016년09월,광진구,40603.7
69,2016년10월,광진구,42486.2
70,2016년11월,광진구,42799.8
71,2016년12월,광진구,41998.0
72,2017년01월,광진구,37295.8
73,2017년02월,광진구,41138.2
74,2017년03월,광진구,42903.8
75,2017년04월,광진구,43494.6
76,2017년05월,광진구,42709.6
77,2017년06월,광진구,41234.9
78,2017년07월,광진구,38221.8
79,2017년08월,광진구,38586.5
80,2017년09월,광진구,42693.3
81,2017년10월,광진구,38000.6
82,2017년11월,광진구,41787.6
83,2017년12월,광진구,40822.5
84,2018년01월,광진구,37794.9
85,2018년02월,광진구,37526.1
86,2018년03월,광진구,42554.9
87,2018년04월,광진구,42718.0
88,2018년05월,광진구,43549.3
89,2018년06월,광진구,40759.0
90,2018년07월,광진구,38969.1
91,2018년08월,광진구,38043.6
92,2018년09월,광진구,39125.3
93,2018년10월,광진구,41660.5
94,2018년11월,광진구,42307.1
95,2018년12월,광진구,40078.5
0,2011년01월,구로구,28661.2
1,2011년02월,구로구,28654.0
2,2011년03월,구로구,32755.2
3,2011년04월,구로구,32897.4
4,2011년05월,구로구,32081.8
5,2011년06월,구로구,30930.6
6,2011년07월,구로구,29240.0
7,2011년08월,구로구,29116.4
8,2011년09월,구로구,30687.4
9,2011년10월,구로구,31933.6
10,2011년11월,구로구,31905.4
11,2011년12월,구로구,31100.4
12,2012년01월,구로구,46524.0
13,2012년02월,구로구,50630.6
14,2012년03월,구로구,51632.9
15,2012년04월,구로구,51161.8
16,2012년05월,구로구,51391.2
17,2012년06월,구로구,50798.6
18,2012년07월,구로구,49498.8
19,2012년08월,구로구,46724.6
20,2012년09월,구로구,49633.6
21,2012년10월,구로구,50303.6
22,2012년11월,구로구,52938.5
23,2012년12월,구로구,50507.0
24,2013년01월,구로구,21717.2
25,2013년02월,구로구,21844.8
26,2013년03월,구로구,23211.8
27,2013년04월,구로구,24207.0
28,2013년05월,구로구,23763.2
29,2013년06월,구로구,22582.2
30,2013년07월,구로구,22335.2
